|Gilgamesz|babil|XVIII-XVw.p.n.e.
Dumas(syn)|Dama kameliowa|fr.|1852
Beecher-Stowe|Chata wuja Toma|amer.|1852
Keller|Zielony Henryk|szwajc.|1854
Whitman|Źdżbła trawy|amer.|1855
Baudelaire|Kwiaty zła|fr.|1857
Bjornson|Dziewcze ze Słonecznego Wzgórza|norw.|1857
Flaubert|Pani Bovary|fr.|1857
Gonczarow|Obłomow|ros.|1859
Turgieniew|Ojcowie i dzieci|ros.|1861
Hugo|Nędznicy|fr.|1861
Renan|Żywot Jezusa|fr.|1863
Carducci|Hymn do szatana|wł.|1863
Carroll|Alicja w krainie czarów|ang.|1865
Tołstoj L|Wojna i pokój|ros|1865-69
Dostojewski|Zbrodnia i kara|ros.|1866
De Coster|Dyl Sowizdrzał|flam.|1869
Ostrowski A|Las|ros.|1871
Zola|Rodzina Rougon-MasquartOw|fr.|1871-93
Daudet|Tartaren z Tarasconu|fr.|1872
Verne|W 80 dni dokoła świata|fr.|1873
Rimbaud|Sezon w piekle|fr|1873
Verlaine|Romance bez słów|fr.|1874
Mark Twain|Przygody Tomka Sawyera|amer.|1876
Tołstoj L|Anna Karenina|ros.|1877
Ibsen|Nora(Dom lalki)|norw.|1879
Dostojewski|Bracia Karamazow|ros.|1879-80
Jacobsen|Niels Lyhne|duń.|1880
Stewenson|Wyspa skarbów|ang.|1883
Nietzsche|Tako rzecze Zarathustra|niem.|1883-91
Zola|Germinal|fr.|1885
Maupasant|Bel Ami|fr.|1885
Strindberg|Ojciec|szwedz.|1887
Hamsun|Głód|norw.|1890
Lagerlof|Gosta Berling|szwedz.|1891
Wilde|Portret Doriana Graya|ang.|1891
Hauptmann G.|Tkacze|niem.|1892
Maeterlinck|Peleas i Melisanda|fr.|1893
France|Gospoda pod Królową Gęsią Nóżką|fr.|1893
Kipling|Księga dżungli|ang.|1894
Wells|Wojna światów|ang.|1898
Tołstoj L|Zmartwychwstanie|ros.|1899
Conrad|Lord Jim|ang.|1900
Mann Th.|Buddenbrookowie|niem.|1901
Gorki|Na dnie|ros.|1902
James H.|Ambasadorowie|amer.|1903
Czechow|Wiśniowy sad|ros.|1904
Rolland|Jan Krzysztof|fr.|1904-12
Sinclair|Grzęzawisko|amer.|1906
Gorki|Matka|ros.|1906
Galsworthy|Saga rodu Forsytów|ang.|1906-22
London|Martin Eden|amer.|1909
Bunin|Wieś|ros.|1910
Shaw|Pigmalion|ang.|1913
Lawrence D.H.|Synowie i kochankowie|ang.|1913
Apollinaire|Alohole|fr.|1913
Proust|W poszukiwaniu straconego czasu|fr.|1913-27
Gide|Lochy Watykanu|fr.|1914
Unamuno|Mgła|hiszp.|1914
Barbusse|Ogień|fr.|1916
Błok|Dwunastu|ros.|1918
Undest|Krystyna córka Lawransa|norw.|1920-22
Hasek|Przygody dobrego wojaka Szwejka|czes.|1920-23
Pirandello|Sześć postaci scenicznych w poszukiwaniu autora|wł.|1921
Tołstoj A.N.|Droga przez mękę|ros.|1921-41
Lewis S|Babbitt|amer.|1922
Joyce|Ulisses|ang.|1922
Eliot T.S.|Jałowa ziemia|ang.|1922
Valery|Gusła|fr.|1922
Martin du Gard|Rodzina Thibault|fr.|1922-40
Rilke|Elegie duinejskie|niem.|1923
Babel|Armia Konna|ros.|1923-25
Mann Th.|Czarodziejska góra|niem.|1924
Gorki|Artamonow i synowie|ros.|1925
Dos Passos|Manhattan Transfer|amer.|1925
Dreiser|Tragedia amerykańska|amer.|1925
Kafka|Proces|austr.|1925
Bernanos|Pod słońcem szatana|fr.|1926
Gide|Fałszerze|fr.|1926
Fadiejew|Klęska|ros.|1927
Hesse|Wilk stepowy|niem.|1927
Majakowski|Dobrze!|ros.|1927
Zweig A.|Spór o sierżanta Griszę|niem.|1927
Brecht|Opera za trzy grosze|niem.|1928
Garcia Lorca Szołochow|Cichy Don|ros.|1928-40
Remarque|Na zachodzie bez zmian|niem.|1929
Giraudoux|Amfitrion 38|fr.|1929
